cepet;cepat
yihaw;asik
kalou;kalau
anyepin;dingin
gk;tidak
bales;balas
trs;terus
g;tidak
lg;lagi
udh;sudah
pake;pakai
gojekindonesia;gojek indonesia
d;di
terimaksih;terima kasih
byk;banyak
tf;transfer
bsa;bisa
memudahkqn;memudahkan
klo;kalau
tp;tapi
n;dan
hrs;harus
mantull;bagus
knp;kenapa
gw;saya
top markotop;lauar biasa
moga;semoga
sebel;sebal
dateng²;datang
buang²;buang
gajelassss;tidak jelas
bagusss;bagus
lemottt;lambat
ngk;tidak
jagan;jangan
j;aja
lg;lagi
ngisi;isi
kalo;kalau
dgn;dengan
slalun;selalu
sll;selalu
seneng;senang
pokoke;pokoknya
gohek;gojek
bgtu;begitu
bsk;besok
ush;usah
banhet;banget
ajaa;aja
smpe;sampe
msuk;masuk
karna;karena
upgred;upgrade
